question,answer,rate,fine_tune
"I feel as though there is a liquid near the surface of my upper left chest muscle near the arm pit that burns when I lean foreword in a standing position. The burn is very intense like a white hot iron is slouching in that area. just started 4 hours ago and is increasing in area. feels liquid in nature, but i feel no bump and it may be inside rib at that location? do not feel it by putting finger pressure in general area.","Thanks for your question on AI Clinic.

I can understand your concern.

By my opinion, you are mostly having musculoskeletal pain (pain in the armpit).

So better to consult orthopedic surgeon and get done 1.

Clinical examination of chest 2.

PUT (Pulmonary Function Test) 3.

Chest x-ray 4.

CT scan of abdomen.

If both these tests show normal then no need to worry about any muscular injury or muscle spasm.

Sometimes stress and anxiety also cause similar symptoms like burning sensation at elbow joint etc.

You may require analgesic such as amylase along with antihistamine",3,0
"My 3 year old daughter complains headache and throat pain since yesterday. Shes also having a hard time sleeping right now. She doesnt have fever but shes asking for blanket, telling me shes cold but were in a tropical-hot country and its really humid-hot right now, so Im really concerned if shes alright.","Hi...

Thank you for consulting in AI Clinic.

I think your kid is having viral illness and it doesn't require antibiotics at all unless there are fever episodes or bloody discharge from the room (if any).

Once this episode comes down, we can start using anti-inflammatory medications like cetirizine to relieve symptoms of headache/ throat pain etc.

So do not worry about duration & frequency as these medicines will only give temporary relief but they may take some time after few days because sometimes allergic reactions occur during such cases which usually resolve within 2-3 weeks with proper treatment.

Regarding cough sensation on sleeping position suggest that she should be given warm compress over her chest twice daily along with analgesic gel under local application once per day before bedtime.

Hope my answer was helpful for you! Wishing good health to our daughter!!",3,0
I had a wisdom tooth extracted nearly 3 weeks ago. unfortunately some of the block went into my jaw muscle and I now have trismus. More alarming though is that my facial muscles feel very much weekened and smiling is an effort. Also I have had twitching above my lip and up cheek and under eye. I am very concerned as I am a music teacher. please help,"Hello, Thanks for consulting AI Clinic.

I have gone through your query and can understand what you are going through in relation to the wisdom tooth extraction or twitching above lip of cheek etc...

You should go ahead with treatment as per planification by doing an ECG which will give more information about how much pain is there....

If it doesn't work then consult dentist again who may advise further management like root canal therapy along with anti-inflammatory medication such as amoxicillin 500u00a0mg once daily.....

Hope this helps",3,0
pcod irregular periods 37x31mm cyst in LT ovary on11july its my first day. 7x7mm inRTovary and 11x12mm inLT ovary on22 july 12day. 11x12mm inRTovary and 8x9mm inLT ovary on27july 17day. 1 what does this mean? 2 IS ovulation happen this time? 3 slow and late growth of follicle as in my case .ISany chance of getting preganant? 4 what to do now? 5 plssssssssssss answer soon,"Hi, Thanks for writing in.

The ovulation is not expected to happen this time and it will be delayed by 3 days or so as you have mentioned that your periods are irregularly occurring during the fertile period of pregnancy (which may occur on early mornings).

You should get an ultrasound done which can help us know what type of cyst there was before conception but also whether any other abnormalities were present after egg formation etc...

If I am my treating doctor then we need some investigations like routine blood sugar test(CBC) along with hormonal profile including thyroid function tests/ serum creatinine levels....

Hope these answers would serve purposeless purposes",3,0
i have had many signs and symptoms of pregnancy like a lte period getting sick the veins on my sides are very noticable and on my arms and chest and legs but i took a test it came back negative and then i was a week late but after that i got my period. is there any way i could still be pregnant? i also have leg cramps and pains in my arms too,"Hi, I have gone through your question and understand the concern.

You are having a very rare pregnancy with no symptoms of any other signs or abnormalities in menstrual cycle which is not related to periods as you mentioned that it was negative for period but still there were some reports like blood test positive so this could be due to hormonal imbalances also leading to irregular cycles (increased fertility) etc...

If these tests come normal then chances of conception will decrease by more than 2 weeks after missed date....

So consult an Obstetrician who can examine you properly before taking medicines.....

Hope my answer helps",3,0
"I got a serious headache, want should I do? what medicine should I take?","Hi, Thanks for writing in.

Headache is a common cause of headaches and it can be due to many reasons like anxiety or stress related problems such as diabetes etc...

You should consult your doctor regarding this issue....

If you have any other symptoms then please get back with the reports done.....

Hope I answered all these queries! Wishing good health!! AI Clinic.

N/S Senior Specialist Infectious Disease specialist at my clinic will treat every aspect which needs attention from him so that we may help further",3,0
"I got a serious headache, want should I do? what medicine should I take?","Hi, Thanks for writing in.

Headache is a common cause of headaches and it can be due to many reasons like anxiety or stress related problems such as diabetes etc...

You should consult your doctor regarding this issue....

If you have any other symptoms then please get back with the reports done.....

Hope I answered all these queries! Wishing good health!! AI Clinic.

N/S Senior Specialist Infectious Disease specialist at my clinic will treat every aspect which needs attention from him so that we may help further",3,0
"	
what is the risk for my pet for Rabies ?","Hello, Welcome to AI Clinic.

Rabies is a disease of the body which can spread by itself and in many cases it causes infection or inflammation (infection).

Its most common cause for this type of illness are viral infections like malaria/neumothorax etc...

You should take antirabies vaccine as per your doctor's advice....

If you have any other doubt then please contact me at bit1.

Thankingyou! 2.

Good luck!! 3.

Thanks!!! Regards Jay In",4,0
what should I do if I got gastritis?,"Hi, Thanks for writing in.

Gastritis is a chronic disease of the liver and can be treated with medications like analgesic or anti-inflammatory AI Clinic.

You should take some painkillers such as paracetamol to relieve your symptoms.

If you have any other problem then consult qualified gastroenterologist who will examine you thoroughly so that appropriate treatment may help him/her further management might need more investigations including routine blood sugar levels (CBC), ultrasound abdomen etc.

Hope this helps",5,0
"I have been suffering from a herniated disc for the past 3 years now. 3 months ago I suffered some excruciating pain from this condition. The pain went away after about 24hrs but ever since then I have been walking with a slight limp, I have very little strength in my right calf and my lower leg swells up every day after walking for about an hour.","Hi, Thanks for writing in.

The pain you are experiencing is due to herniated discs which can be a cause of the symptoms and may not require any treatment at all as it could have been caused by nerve compression or some other pathology like an infection that has occurred during walking with swelling on legs etc...

I would advise consulting your doctor regarding this issue....

If there was no improvement then consult orthopedic surgeon who will examine and treat accordingly.....

Hope my answer helps! Best wishes",5,0
"I had diarrhea for a long time, what medicine should I take?","Hi, Thanks for writing in.

The diarrhea you have described is due to a viral infection of the stomach and can be caused by many causes like diabetes or hypertension etc...

You should consult your doctor regarding this issue....

If there are any other cause then please get back with reports done.....

Hope I answered all these queries Regards AI Clinic.

Vyglycerin (formoterol) 5 mg once daily will help reduce inflammation on intestinal tract which may lead into kidney stones as well",4,0
"i am 28 yrs old, i got married before 6 year, i was infected by pulmonary tuberculosis before 6 years, i took treatment for 6 months after that i statred gainig weigt, my periods was irredulat, i increased nearlt 20 kgs after that, now my weight is 75 kgs, i trying to conceive, i took tsh, other blood test too, but everything is normal, do i have the chances to conceive","Hi, Thanks for writing in.

I understand your concern and would explain that you are having a very low chance of conception after tuberculosis infection (TB).

It is not possible to predict the pregnancy by doing ultrasound scan or urine test as it could be due to some other causes like diabetes mellitus etc...

So consult an endocrinologist who can examine yourself properly so we know what exactly cause this problem....

Hope my answer was helpful! Best wishes AI Clinic",4,0
"My arm is broken, what should I do?","Hi, Thanks for writing in.

The fractured arm is a very common condition and needs to be treated with anti-inflammatory medications like cetirizine or amoxicillin 500u00a0mg once daily after meals as advised by your doctor at the time of injury so that you can continue treatment without any side effects such as painkillers etc...

If there are no signs of improvement then consult orthopedic surgeon who will examine it accordingly....

Hope this helpsRegards",5,0
hi my nine year old son had a cough and flu symptons three months ago and the chesty sounding cough and green phlegm still remains. it did seem to get better but never totally went and has now picked up again...he has only ever had antibiotics once in his live which suggests he his generally fitand well and active...never short of breath or weezy...so why would this be....,"Hi...

Thank you for consulting in AI Clinic.

I understand your concern and would explain that his symptoms could be related to viral infection or lung infections (like pneumonia).

In my opinion, we should first rule out cardiac cause because these are common causes of coughing with green chest pains which is due to poor immunity from the virus causing this kind of problem like asthmatic attacks etcetera.

So get done clinical examination of respiratory system including PFT(Pulmonary Function Test) along with Chest x-ray to confirm diagnosis.

If both these tests show normal then no need to worry about heart diseases as they can also lead similar type of problems such as chronic cold weather conditions wherein there might not been any relief after few months without treatment however consult pediatrician once again on all reports regarding severity of disease but better management will depend upon result of investigation report followed by complete blood count test at home before starting antibiotic therapy according to findings found otherwise nothing much troublesome happens during fever episodes",4,0
"My arm is broken, what should I do?","Hi, Thanks for writing in.

The fractured arm is a very common condition and needs to be treated with an anti-inflammatory medication like amoxicillin or metronidecoside along with some painkillers such as paracetamol (if you are not allergic).

If the injury persists then it can take up to 6 months of time depending on severity of damage caused by this disease which may require surgery only after proper clinical examination.

I hope my answer helps! Please get back & discuss all these issues",4,0
hi my nine year old son had a cough and flu symptons three months ago and the chesty sounding cough and green phlegm still remains. it did seem to get better but never totally went and has now picked up again...he has only ever had antibiotics once in his live which suggests he his generally fitand well and active...never short of breath or weezy...so why would this be....,"Hi...

Thank you for consulting in AI Clinic.

I understand your concern and would explain that his symptoms could be related to viral infection or bronchitis (infection of the airways).

In my opinion, we should first rule out lung infections as well because it can cause similar kind of coughing with green chest pains which is common after flu season.

So get done clinical examination of respiratory system including PFT (Pulmonary Function Test) along with Chest x-ray to confirm diagnosis.

If both these are normal then no need to worry about any serious illness like pneumonia.

Regards -",5,0
